Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
3578,1,17,4,9085,1,1,1,1,1,3,5,5,1,1,0,0,1,1,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,2,0
2805,1,1,4,9500,1,1,1,1,19,19,9,9,1,1,0,0,1,0,0,0,0,0,3,2,2,1,0,0,3,3,2,2,0,2,1,2,2
3513,4,39,1,9670,1,19,1,1,37,37,9,7,2,0,0,1,1,1,1,3,0,0,2,3,1,3,0,0,2,2,0,0,0,1,1,3,0
3126,1,17,1,9238,1,1,1,1,37,19,9,8,0,1,0,0,1,0,0,2,0,0,2,3,3,0,0,0,2,3,1,1,0,2,3,0,1
174,1,17,2,9254,1,1,0,1,37,37,9,8,1,1,0,1,0,0,0,1,0,0,1,2,1,1,0,0,1,1,2,2,0,1,1,3,0
3828,1,1,1,9119,1,1,1,1,12,1,4,10,1,1,0,0,1,1,0,0,0,0,1,3,0,0,0,0,1,3,1,3,3,0,2,1,0
617,1,17,1,9500,1,1,3,1,37,37,9,8,2,1,0,0,1,0,0,1,0,0,3,2,3,2,0,0,3,3,3,3,0,3,0,1,2
3403,1,17,5,9500,1,1,3,1,19,19,9,7,2,1,0,0,1,0,1,0,0,0,3,2,3,3,0,0,3,2,3,3,0,3,3,0,2
2001,1,1,1,9238,1,1,3,1,38,37,9,5,3,0,0,0,1,0,1,0,0,0,2,1,2,3,0,0,2,1,0,0,0,3,3,0,0
3395,1,53,1,9085,1,42,3,1,19,37,4,9,3,1,0,0,1,0,0,1,0,3,3,3,3,3,0,2,3,2,3,3,0,0,1,3,2
