Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
2939,1,39,1,8014,0,1,0,1,37,37,6,5,0,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0,2,0,0,0,0,2,3,0,0
2103,1,1,2,9773,1,1,1,1,34,19,3,0,3,1,0,0,0,0,0,1,0,0,2,3,1,1,0,0,2,3,1,0,0,0,2,1,0
879,1,44,1,9070,1,39,0,1,19,1,9,3,1,1,0,0,1,1,0,2,0,1,3,2,1,1,0,2,3,3,3,1,1,3,0,1,0
1866,1,39,2,9147,1,1,1,1,19,19,5,9,1,0,0,0,0,1,0,3,0,0,1,1,1,0,0,0,1,2,0,0,0,1,1,2,0
4135,1,1,1,8014,0,1,0,1,38,38,9,7,0,1,0,0,1,0,0,3,0,0,3,2,2,2,0,0,3,2,2,1,0,0,0,0,2
2634,1,1,1,9670,1,1,1,1,1,19,7,5,2,1,0,0,1,1,0,1,0,0,2,3,2,2,0,0,2,2,1,2,0,2,1,2,1
99,1,1,4,9500,1,1,0,1,3,3,2,2,0,1,0,1,0,0,0,0,0,0,3,3,1,1,0,0,3,1,0,0,0,2,0,2,0
3998,4,7,1,9500,1,40,1,1,19,19,4,6,2,0,0,0,0,0,0,3,0,1,3,3,2,2,0,2,3,3,1,3,0,2,1,2,0
104,1,18,1,9853,1,1,0,1,19,19,9,7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,0
2010,1,18,1,9853,1,1,1,1,37,37,9,5,1,0,0,0,1,0,1,0,0,0,3,2,2,2,0,0,3,1,2,2,0,1,1,3,2
524,1,1,1,9556,1,1,3,103,5,3,1,1,3,1,0,0,1,0,0,0,1,0,3,2,1,1,0,0,3,2,0,0,0,3,0,1,0
3036,1,1,2,9500,1,1,2,1,3,3,2,2,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,2,3,0,0
7,1,18,4,9254,1,1,0,1,37,37,9,9,0,1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,3,3,0,0
979,1,18,1,9003,1,1,1,1,1,38,9,6,0,0,0,0,1,1,0,2,0,2,3,3,3,1,0,2,3,3,3,2,0,3,3,0,2
1667,1,1,4,9500,1,1,3,1,3,19,1,5,2,1,0,0,1,0,0,0,0,0,3,2,3,3,0,0,3,2,3,3,0,0,0,0,2
2273,2,1,4,8014,0,1,2,1,34,34,0,0,2,1,0,0,1,1,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3072,1,44,1,9238,1,39,1,1,1,19,4,5,2,0,0,1,0,1,0,3,0,2,2,2,2,1,0,1,2,2,2,1,0,2,0,2,0
2203,2,7,1,171,1,3,0,1,19,19,9,9,2,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
3301,1,17,1,9500,1,1,1,1,19,1,9,7,2,1,0,0,1,0,1,0,0,0,3,2,3,3,0,0,3,2,3,3,0,1,1,3,2
695,1,1,1,9147,1,1,3,1,3,1,5,5,3,1,0,1,1,1,0,0,0,0,1,3,1,2,0,0,1,1,1,3,0,2,0,2,0
4236,1,43,1,9773,1,1,1,1,38,19,9,9,1,1,0,0,1,1,1,1,0,0,3,1,3,2,0,0,3,2,3,3,0,2,1,2,2
