MaritalStatus,ApplicationMode,ApplicationOrder,Course,DaytimeEveningAttendance,PreviousQualification,PreviousQualificationGrade,Nationality,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,AdmissionGrade,Displaced,EducationalSpecialNeeds,Debtor,TuitionFeesUpToDate,Gender,ScholarshipHolder,AgeAtEnrollment,International,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits1stSemWithoutEvaluations,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,CurricularUnits2ndSemGrade,CurricularUnits2ndSemWithoutEvaluations,UnemploymentRate,InflationRate,GDP,Target
1,18,1,9119,1,1,3,1,3,19,3,5,3,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,17,2,9254,1,1,0,1,12,19,5,5,0,1,0,0,1,0,0,1,0,0,3,3,1,0,0,0,3,3,0,0,0,1,1,2,0
1,1,3,9773,1,1,0,1,38,19,7,7,0,1,0,1,0,0,0,0,0,0,2,2,3,1,0,0,2,3,1,0,0,3,0,1,0
1,1,1,9500,1,1,3,1,1,1,4,10,3,0,0,0,1,0,0,0,0,0,3,2,3,3,0,0,3,3,0,0,2,2,1,2,0
1,1,1,171,1,1,1,1,38,37,5,5,3,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
1,39,1,9991,0,1,0,1,19,19,9,9,0,1,0,0,1,1,0,3,0,0,1,2,1,0,0,0,1,1,0,0,0,2,3,0,0
1,39,1,9670,1,6,1,1,1,1,90,3,0,1,0,0,1,1,0,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,0
1,44,1,9119,1,39,3,1,3,38,2,3,3,0,0,1,0,1,0,2,0,1,2,1,1,3,0,1,3,2,1,3,0,0,1,3,0
1,1,1,9070,1,1,0,1,19,19,9,7,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,2,0
1,1,1,9238,1,1,2,1,19,38,9,9,2,0,0,0,1,1,0,0,0,0,2,3,2,1,0,0,2,3,1,2,0,3,0,1,0
1,7,1,9003,1,3,1,1,1,38,9,7,2,1,0,0,0,1,0,3,0,3,3,3,3,2,3,3,3,3,3,2,1,3,3,0,0
1,17,1,9085,1,1,0,1,19,19,4,9,0,1,0,1,0,0,1,2,0,0,2,3,1,2,0,0,2,2,0,0,0,3,3,0,0
1,17,5,9085,1,1,1,1,19,19,90,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,3,0,0
1,39,1,9556,1,1,1,6,3,3,4,4,3,0,0,1,0,0,0,3,1,0,3,1,0,0,0,0,1,3,0,0,0,2,1,2,0
1,44,1,9070,1,39,0,1,1,38,4,6,0,0,0,1,0,0,0,2,0,1,3,2,2,1,0,2,3,2,2,0,0,2,1,2,0
1,1,3,9773,1,1,2,1,1,39,4,1,2,1,1,0,1,1,0,2,0,0,2,1,1,1,0,0,2,2,0,0,0,3,0,1,0
1,43,1,9147,1,1,3,1,1,3,1,1,0,0,0,0,1,1,0,3,0,0,1,2,1,0,0,0,1,2,0,0,0,3,3,0,0
1,39,1,9991,0,19,1,1,37,37,9,6,0,0,0,1,1,0,0,3,0,0,1,3,1,0,0,0,1,1,0,0,0,2,1,2,0
1,39,1,9500,1,1,2,1,37,37,9,6,3,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,2,0
1,42,1,9773,1,1,1,1,19,6,4,3,1,0,0,0,1,1,0,3,0,0,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0
1,39,1,9085,1,19,1,1,3,1,2,5,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,2,0
1,1,1,9500,1,1,3,1,37,37,9,9,3,1,0,0,1,0,1,3,0,0,3,2,3,3,0,0,3,3,1,3,0,2,0,2,0
1,17,6,9147,1,1,0,1,37,1,9,7,0,1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,1,2,1,2,0,0,0,0,0
2,39,1,9991,0,1,2,1,37,12,9,9,3,0,0,1,1,1,0,3,0,0,1,1,2,0,0,0,1,1,2,1,2,0,0,0,0
