Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1116,1,1,1,9070,1,1,3,1,3,38,1,9,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,1,2,0
1472,1,17,1,9773,1,1,1,1,19,38,4,9,2,0,0,0,1,1,1,0,0,0,2,1,2,1,0,0,2,2,2,2,0,3,0,1,2
689,4,39,2,9147,1,19,1,1,37,37,9,7,0,0,0,1,0,1,0,3,0,0,1,1,0,0,0,0,1,2,0,0,0,1,1,2,0
3609,1,1,1,171,1,1,1,1,1,37,9,9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
4413,1,43,1,33,1,1,3,1,37,1,9,10,1,1,0,0,1,1,0,2,0,2,3,3,2,1,0,2,3,3,1,2,0,2,1,2,1
714,2,39,1,9085,1,1,0,1,37,37,6,6,3,0,0,0,1,1,0,3,0,0,1,2,1,3,2,0,1,1,1,3,0,0,0,0,2
1136,1,1,3,9070,1,1,2,1,37,38,9,9,1,1,0,0,1,0,1,0,0,0,2,1,2,3,0,0,2,2,2,3,0,1,1,2,2
748,1,39,1,9670,1,6,1,1,1,1,90,3,0,1,0,0,1,1,0,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,0
4026,1,39,1,9003,1,1,0,1,37,37,9,5,0,0,0,0,1,0,0,3,0,3,3,3,3,1,0,2,3,3,3,2,0,3,3,0,2
2704,1,17,1,9670,1,1,0,1,1,1,4,4,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,2,1,1
2510,1,10,2,9773,1,1,3,22,19,38,3,5,3,1,0,0,0,0,0,0,1,0,2,2,2,1,0,0,2,0,0,0,0,1,1,2,0
