Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,17,6,9500,1,1,3,1,1,38,4,8,3,1,0,0,1,0,0,1,0,0,3,3,3,2,0,0,3,2,3,3,0,2,0,2,0
1,17,2,9853,1,1,3,1,38,19,4,9,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,2,0
1,18,3,9853,1,1,0,1,38,37,9,5,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,2,0
2,39,1,9991,0,19,1,1,38,38,7,8,1,0,0,0,1,1,0,3,0,0,1,2,0,0,0,0,1,1,1,0,0,2,3,0,0
1,1,3,9773,1,1,3,1,3,38,2,10,3,1,0,0,1,0,0,0,0,0,2,2,2,2,0,0,2,1,2,2,0,1,1,2,0
1,39,2,9556,1,1,1,1,19,19,4,5,0,0,0,0,1,1,1,2,0,0,3,1,1,0,0,0,3,1,0,0,0,3,3,0,0
1,1,4,9500,1,1,2,1,1,19,4,5,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,2,3,0,0
4,42,1,9500,1,19,1,1,1,1,5,5,1,1,0,0,1,1,0,3,0,1,3,3,1,1,0,1,3,3,1,1,0,2,0,2,0
1,1,2,9853,1,1,0,1,38,37,5,3,1,1,0,0,0,0,0,0,0,0,2,3,1,2,0,0,2,3,2,1,0,0,0,0,0
1,1,1,9500,1,1,0,1,19,19,9,10,1,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,1,3,0
1,17,1,9085,1,1,2,1,38,19,0,90,1,0,0,0,1,0,1,0,0,0,1,1,2,2,0,0,1,2,1,2,0,0,2,1,0
1,43,1,9147,1,1,1,1,4,19,2,1,2,0,0,0,1,0,0,2,0,3,3,3,3,3,2,1,2,2,3,3,0,0,0,0,0
