Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,44,1,9119,1,1,1,1,37,12,9,8,2,1,0,1,0,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,2,0,2,0
1,1,4,9119,1,1,0,1,37,37,9,5,0,1,0,0,1,1,1,2,0,0,1,2,1,2,0,0,2,3,1,2,0,1,1,3,0
2,1,1,9991,0,1,3,1,37,37,9,9,2,0,0,0,0,0,0,3,0,0,1,1,1,1,0,0,1,1,2,0,0,1,1,2,0
4,42,1,9147,1,1,1,1,37,38,7,3,1,1,0,0,1,1,0,3,0,0,1,1,1,0,0,0,1,1,0,0,0,0,2,1,0
1,39,1,33,1,1,1,1,19,37,9,9,0,0,0,0,1,1,0,2,0,0,3,3,1,3,0,0,3,3,1,1,0,2,1,2,0
2,39,1,9085,1,1,3,1,37,37,90,10,0,0,0,0,1,1,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,2,0
1,51,1,9991,0,39,0,1,1,4,4,10,1,0,0,0,1,1,0,3,0,3,3,3,3,1,0,3,3,3,3,1,0,0,1,3,0
1,53,1,9085,1,42,2,1,19,38,9,9,3,0,0,1,0,0,0,2,0,3,3,3,3,3,0,2,3,3,2,2,0,0,1,3,0
1,18,1,9147,1,1,3,1,19,1,9,7,3,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,2,0
1,39,1,9003,1,1,3,1,1,38,5,6,3,0,0,0,1,1,0,3,0,0,2,2,0,0,0,0,2,1,0,0,0,2,0,2,0
2,42,1,9147,1,1,1,1,37,37,9,9,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,1,2,0,0,0,1,1,2,0
2,7,1,8014,0,3,0,1,38,1,9,9,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,1,1,2,0
2,43,1,9991,0,1,2,1,37,37,4,9,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,1,1,1,0,0,2,3,0,0
1,43,1,9500,1,1,2,100,1,1,6,6,2,0,0,0,1,0,0,3,1,0,3,0,0,0,0,0,3,0,0,0,0,2,3,0,0
1,39,1,171,1,1,3,1,37,38,175,193,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
1,1,1,9254,1,1,1,1,19,9,0,0,1,1,0,0,1,0,1,1,0,0,2,3,0,0,0,0,2,3,0,0,0,0,2,1,0
1,43,2,9773,1,1,0,1,34,34,0,0,0,1,0,0,1,0,0,3,0,2,3,3,3,2,0,2,3,3,2,1,0,0,0,0,0
1,1,1,9853,1,1,0,1,37,19,6,7,0,1,0,0,1,0,0,0,0,0,3,3,1,1,0,0,3,3,1,0,0,0,0,0,0
