MaritalStatus,ApplicationMode,ApplicationOrder,Course,DaytimeEveningAttendance,PreviousQualification,PreviousQualificationGrade,Nationality,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,AdmissionGrade,Displaced,EducationalSpecialNeeds,Debtor,TuitionFeesUpToDate,Gender,ScholarshipHolder,AgeAtEnrollment,International,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits1stSemWithoutEvaluations,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,CurricularUnits2ndSemGrade,CurricularUnits2ndSemWithoutEvaluations,UnemploymentRate,InflationRate,GDP,Target
1,1,1,9853,1,1,3,1,19,19,4,5,3,0,0,0,1,0,1,0,0,0,3,2,2,2,0,0,2,1,0,0,0,2,0,2,0
4,39,1,8014,0,1,1,1,37,37,9,7,3,0,0,0,1,0,1,3,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,3,0
1,39,1,9991,0,40,1,1,19,1,3,4,3,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0
1,39,2,9556,1,1,1,1,3,1,2,4,3,0,0,0,1,1,0,3,0,0,3,1,1,1,0,0,1,3,0,0,0,2,1,2,0
1,44,1,9003,1,39,2,1,1,38,1,9,3,0,0,0,1,1,0,2,0,0,2,3,1,1,0,0,2,3,1,1,0,3,3,0,0
2,39,1,9147,1,1,1,1,37,37,9,9,3,0,0,0,0,0,0,3,0,0,1,2,1,2,1,0,1,2,2,1,0,0,0,0,0
1,1,3,9670,1,1,2,1,14,11,0,0,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,0
1,17,2,9500,1,1,1,1,38,1,5,7,1,1,0,0,1,0,1,1,0,0,3,2,2,3,0,0,3,2,3,3,0,3,0,1,0
1,39,1,9147,1,12,1,1,19,37,7,9,1,0,0,0,1,0,0,3,0,0,1,2,1,2,3,0,1,2,1,2,0,1,1,2,0
2,43,1,9991,0,1,1,1,37,37,9,9,2,0,0,0,1,0,0,3,0,2,3,2,1,0,0,1,3,1,1,0,0,0,0,0,0
1,17,2,9254,1,1,0,1,19,19,5,5,0,1,0,1,1,0,0,0,0,0,2,3,2,1,0,0,2,2,2,1,0,3,0,1,0
1,39,1,9254,1,9,1,1,34,34,0,0,0,1,0,0,0,0,0,3,0,0,1,3,0,0,0,0,1,3,0,0,0,0,2,1,0
2,1,1,9003,1,1,0,1,37,37,9,9,1,1,0,1,1,1,0,3,0,3,3,3,3,0,2,3,3,3,3,0,0,3,3,0,0
1,7,1,171,1,3,1,1,1,2,9,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,4,9773,1,1,2,1,1,1,5,5,1,0,0,1,1,1,0,1,0,0,2,1,2,1,0,0,2,1,2,2,0,2,3,0,0
4,43,1,9853,1,1,1,100,19,22,90,90,0,0,0,0,1,0,0,3,1,0,3,1,3,1,0,0,3,3,1,1,0,0,2,1,0
1,18,2,9119,1,1,2,1,1,2,5,4,1,1,0,0,1,1,0,0,0,0,1,1,1,2,0,0,1,2,1,2,0,2,0,2,0
1,17,2,9254,1,1,0,1,37,37,9,8,1,1,0,1,0,0,0,1,0,0,1,2,1,1,0,0,1,1,2,2,0,1,1,3,0
2,39,2,9119,1,19,1,1,37,37,7,7,1,0,0,0,0,1,0,3,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,9773,1,1,1,1,19,37,9,3,1,1,0,0,1,0,0,1,0,0,1,1,1,2,0,0,1,1,0,0,0,3,3,0,0
1,39,1,9147,1,19,0,1,38,19,7,9,2,0,0,1,0,1,0,3,0,0,1,2,1,0,0,0,1,3,0,0,0,1,1,2,0
1,17,2,9853,1,1,0,1,37,37,9,9,0,1,0,0,1,0,0,2,0,0,1,3,1,1,0,0,1,3,1,0,0,0,2,1,0
1,17,3,9670,1,1,3,1,37,37,8,8,2,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,9670,1,1,0,1,37,38,9,9,0,1,0,1,0,0,0,0,0,0,2,2,1,1,0,0,2,2,1,1,0,1,1,2,0
1,51,1,9119,1,1,2,1,1,19,3,5,2,1,0,0,1,1,0,1,0,2,3,3,3,3,0,1,3,2,2,3,0,1,1,3,0
1,1,2,9773,1,1,0,1,1,19,4,7,2,1,0,0,1,0,1,0,0,0,2,1,2,3,0,0,2,1,2,2,0,2,0,2,0
1,43,2,9238,1,1,1,1,34,30,0,5,1,1,0,0,1,1,0,2,0,0,2,3,0,0,0,0,1,3,0,0,0,0,0,0,0
1,7,1,9130,1,3,2,1,19,38,9,9,3,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,2,0
