Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
3513,4,39,1,9670,1,19,1,1,37,37,9,7,2,0,0,1,1,1,1,3,0,0,2,3,1,3,0,0,2,2,0,0,0,1,1,3,0
3126,1,17,1,9238,1,1,1,1,37,19,9,8,0,1,0,0,1,0,0,2,0,0,2,3,3,0,0,0,2,3,1,1,0,2,3,0,1
174,1,17,2,9254,1,1,0,1,37,37,9,8,1,1,0,1,0,0,0,1,0,0,1,2,1,1,0,0,1,1,2,2,0,1,1,3,0
3828,1,1,1,9119,1,1,1,1,12,1,4,10,1,1,0,0,1,1,0,0,0,0,1,3,0,0,0,0,1,3,1,3,3,0,2,1,0
617,1,17,1,9500,1,1,3,1,37,37,9,8,2,1,0,0,1,0,0,1,0,0,3,2,3,2,0,0,3,3,3,3,0,3,0,1,2
3403,1,17,5,9500,1,1,3,1,19,19,9,7,2,1,0,0,1,0,1,0,0,0,3,2,3,3,0,0,3,2,3,3,0,3,3,0,2
2001,1,1,1,9238,1,1,3,1,38,37,9,5,3,0,0,0,1,0,1,0,0,0,2,1,2,3,0,0,2,1,0,0,0,3,3,0,0
3395,1,53,1,9085,1,42,3,1,19,37,4,9,3,1,0,0,1,0,0,1,0,3,3,3,3,3,0,2,3,2,3,3,0,0,1,3,2
1274,1,7,1,9991,0,40,0,1,37,37,9,7,1,0,0,0,1,0,0,3,0,0,1,1,1,1,0,0,1,2,2,2,0,2,1,2,2
1033,1,17,1,9085,1,1,1,1,1,37,9,9,1,1,0,0,1,0,1,0,0,0,1,1,1,2,0,0,1,2,2,3,0,1,1,2,2
3173,1,39,1,9556,1,1,1,1,38,19,9,6,0,1,0,0,1,0,1,2,0,0,3,3,2,2,0,0,3,2,3,1,0,0,1,3,2
4195,1,1,5,9254,1,1,0,1,37,37,9,7,2,1,0,0,1,0,1,0,0,0,3,3,3,1,0,0,3,3,1,2,0,0,0,0,2
4267,1,1,1,9254,1,1,0,1,1,1,5,5,0,1,0,0,1,1,1,2,0,0,3,1,3,1,0,0,3,2,2,1,0,1,1,2,2
287,1,39,1,8014,0,15,3,1,34,1,90,2,0,0,0,0,1,0,0,3,0,0,1,2,1,1,0,0,1,3,1,1,0,0,2,1,2
1049,1,1,1,9500,1,1,3,1,38,38,5,5,2,0,0,0,1,0,0,0,0,0,3,1,3,3,0,0,3,2,3,3,0,2,1,2,2
168,1,39,1,9500,1,3,1,1,2,2,1,1,2,0,0,0,1,0,0,3,0,1,3,2,3,3,0,1,3,2,3,3,0,2,3,0,2
528,1,39,1,9147,1,1,0,1,37,37,9,9,0,0,0,1,0,1,0,3,0,0,1,1,0,0,0,0,1,2,0,0,0,1,1,2,0
1130,1,1,3,9500,1,1,3,1,19,37,7,7,3,1,0,0,1,0,1,0,0,0,3,2,3,2,0,0,3,2,3,2,0,0,0,0,2
1236,1,1,6,9500,1,1,3,1,1,37,4,3,2,1,0,0,1,0,0,0,0,0,3,1,3,3,0,0,3,2,3,3,0,3,0,1,2
1026,1,1,1,9085,1,1,0,1,30,19,4,90,1,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,1,1,2,1,0,0,2,1,2
1265,1,1,6,9500,1,1,2,1,1,1,4,5,2,1,0,0,1,0,1,0,0,0,3,2,3,3,0,0,3,2,3,3,0,0,0,0,2
1459,1,18,1,9147,1,1,0,1,37,37,7,7,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1202,2,39,2,9147,1,1,3,1,19,37,9,7,0,0,0,1,0,0,0,3,0,0,1,2,1,0,0,0,1,3,1,3,0,1,1,2,0
3645,1,17,3,9238,1,1,1,1,41,1,2,3,0,1,0,0,1,0,0,2,0,0,2,2,3,2,0,0,2,2,3,2,0,1,1,3,2
1052,1,17,3,9500,1,1,2,1,3,3,4,5,2,1,0,0,1,0,0,0,0,0,3,2,3,3,0,0,3,2,3,3,0,2,0,2,0
2817,1,1,1,9147,1,1,1,1,37,37,9,7,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,2,1,3,0,1,1,2,1
3632,1,44,1,9238,1,39,2,1,37,19,191,102,3,1,0,1,1,0,0,2,0,2,2,2,1,1,0,2,2,1,1,2,0,2,1,2,1
3135,1,1,1,171,1,1,2,1,1,40,4,3,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2
1750,1,44,1,9003,1,1,0,1,3,2,2,6,1,1,0,0,1,1,0,2,0,2,3,3,3,1,2,1,3,3,1,2,0,2,3,0,1
153,1,1,1,9853,1,1,2,1,37,37,9,9,2,1,0,0,1,0,0,0,0,0,1,1,2,2,0,0,1,2,1,1,0,0,2,1,2
613,1,17,3,9147,1,1,0,1,1,19,5,7,1,0,0,0,1,0,0,1,0,0,1,3,1,0,0,0,1,1,1,2,0,2,1,2,1
1804,1,51,1,9147,1,19,1,1,19,19,9,5,0,0,0,1,0,1,0,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,3,0
1569,1,43,1,9130,1,1,1,6,37,37,9,6,0,0,0,0,1,0,0,3,1,0,2,0,0,0,0,0,2,0,0,0,0,2,0,2,0
2696,1,39,1,9254,1,19,1,1,19,19,3,1,0,0,0,1,0,1,0,3,0,0,2,1,0,0,0,0,2,1,0,0,0,3,3,0,0
2258,1,7,1,9070,1,3,0,1,4,4,2,2,1,0,0,0,1,1,0,3,0,0,2,2,1,1,0,0,2,3,1,2,0,2,3,0,0
3394,1,1,2,9147,1,1,1,1,38,19,3,7,1,1,0,0,1,0,0,0,0,0,1,2,1,2,0,0,1,3,1,3,0,1,1,2,1
3160,1,1,2,171,1,1,0,1,38,19,9,9,0,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
802,1,17,4,9147,1,1,0,1,19,19,5,5,1,1,0,0,1,0,0,0,0,0,1,1,1,3,0,0,1,1,1,1,0,0,1,3,2
2544,1,44,1,9003,1,39,2,1,38,38,6,3,3,0,0,0,1,0,0,0,0,0,2,3,1,1,0,0,2,3,1,1,0,3,3,0,1
1949,1,18,1,9500,1,1,0,1,38,37,5,5,0,0,0,0,1,0,0,1,0,0,3,3,2,1,0,0,3,2,3,2,0,3,3,0,2
1255,4,39,1,9130,1,1,1,1,3,1,5,5,0,1,0,0,1,0,1,3,0,0,2,1,0,0,0,0,2,3,1,0,0,1,1,3,0
2640,2,39,1,9119,1,19,1,1,37,37,9,9,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0
2304,1,17,1,9147,1,1,1,1,1,19,4,8,0,0,0,0,1,1,0,1,0,0,1,3,0,0,0,0,1,1,0,0,0,1,1,3,0
